Tahun;Bulan;tgl;temp7;temp13;temp18;temp_avg;temp_24;temp_max;temp_min;CH;light_hour;light_per;pck;tgl;press;humid7;humid13;humid18;humid_avg;humid_24;ws_abg;mod_dir;max_ws;dir;rainfall_category
2021;3;15.00;25.06.00;33.04.00;29.05.00;28.05.00;29.02.00;33.08.00;25.06.00;01.03;07.05;93.75;  RA  ;15.00;1010.03.00;9.180.168.143.581.010;61.686.289.189.657.100;7.750.580.158.753.320;81.00.00;79.00.00;3.375;U;08.00;330.00.00;
2021;3;16.00;26.08.00;29.05.00;28.06.00;27.09.00;28.01.00;32.06.00;25.08.00;03.04;00.06;07.05;  RA  ;16.00;1010.08.00;9.123.598.014.520.160;7.750.580.158.753.320;8.346.872.963.731.320;86.00.00;85.00.00;25.416.666.666.666.600;U;07.00;10.00;
2021;3;17.00;26.02.00;30.08.00;29.00.00;28.01.00;28.06.00;32.08.00;25.00.00;8;03.01;38.75;  RA  ;17.00;1010.05.00;9.032.925.307.559.570;7.347.335.716.573.120;8.076.528.192.707.860;84.00.00;81.00.00;27.916.666.666.666.600;TL;07.00;40.00.00;
2021;3;18.00;26.08.00;33.08.00;30.00.00;29.04.00;28.04.00;34.04.00;25.00.00;-;05.09;73.75;TS    ;18.00;1008.05.00;8.890.671.270.734.420;5.533.005.868.405.980;7.705.525.422.069.950;78.00.00;78.00.00;03.05;B;12.00;290.00.00;
2021;3;19.00;25.08.00;33.05.00;30.04.00;28.09.00;28.09.00;34.00.00;25.08.00;29.02.00;08.00;100.00.00;TS RA  ;19.00;1009.01.00;8.865.682.829.400.100;6.006.047.876.412.940;7.195.797.343.114.360;77.00.00;79.00.00;4.458.333.333.333.330;B;12.00;330.00.00;
2021;3;20.00;26.08.00;33.06.00;30.04.00;29.04.00;29.06.00;33.07.00;25.08.00;23.03;07.07;96.25.00;  RA  ;20.00;1007.07.00;8.660.291.684.321.890;5.735.386.383.357.230;6.683.218.087.679.030;74.00.00;75.00.00;5.583.333.333.333.330;B;12.00;330.00.00;
2021;3;21.00;27.06.00;33.06.00;29.08.00;29.07.00;29.01.00;34.04.00;25.04.00;-;07.06;95.00.00;TS   Lightning;21.00;1007.00.00;8.237.990.451.903.910;58.459.408.741.925.400;796.947.592.063.912;76.00.00;78.00.00;4.708.333.333.333.330;BL;12.00;360.00.00;
2021;3;22.00;26.05.00;34.03.00;30.05.00;29.05.00;29.08.00;35.00.00;26.03.00;7;07.01;88.75;TS RA  ;22.00;1008.07.00;8.574.647.865.707.120;5.413.252.485.226.750;7.072.053.802.467.630;74.00.00;74.00.00;37.916.666.666.666.600;BL;11.00;340.00.00;
2021;3;23.00;27.02.00;32.03.00;29.04.00;29.00.00;28.02.00;33.06.00;24.04.00;-;05.04;67.05.00;    Lightning;23.00;1009.01.00;8.446.076.283.297.420;6.206.220.839.326.230;809.222.185.119.632;78.00.00;83.00.00;3.375;B;09.00;360.00.00;
2021;3;24.00.00;25.06.00;33.01.00;29.06.00;28.05.00;29.02.00;33.07.00;25.05.00;38;06.00;75.00.00;  RA  ;24.00.00;1009.02.00;9.341.746.228.939.550;62.048.421.178.372.200;782.359.623.324.487;82.00.00;79.00.00;26.666.666.666.666.600;U;09.00;330.00.00;
2021;3;25.00.00;27.04.00;33.01.00;29.00.00;29.02.00;28.09.00;33.04.00;25.08.00;1;05.01;6.374.999.999.999.990;  RA  ;25.00.00;1009.02.00;875.318.087.351.986;6.033.355.843.625.720;7.936.106.316.073.890;79.00.00;81.00.00;34.166.666.666.666.600;S;08.00;40.00.00;
2021;3;26.00.00;26.08.00;32.05.00;29.00.00;28.08.00;28.09.00;33.04.00;26.04.00;TTU;01.05;0,802083333;TS RA  ;26.00.00;1008.09.00;8.890.671.270.734.420;622.048.319.598.708;8.217.990.099.313.860;81.00.00;82.00.00;2.125;T;10.00;40.00.00;
2021;3;27.00.00;26.08.00;32.08.00;29.04.00;29.00.00;28.08.00;34.00.00;25.03.00;00.05;04.05;56.25.00;TS RA Lightning;27.00.00;1008.07.00;9.280.314.120.005.830;6.772.648.566.841.950;795.296.241.834.943;83.00.00;81.00.00;2.875;U;08.00;360.00.00;
2021;3;28.00.00;26.02.00;34.09.00;29.00.00;29.01.00;29.08.00;35.02.00;26.02.00;-;06.09;86.25.00;     ;28.00.00;1008.07.00;864.234.912.104.948;56.728.791.917.427.400;8.076.528.192.707.860;78.00.00;77.00.00;26.666.666.666.666.600;BL;10.00;130.00.00;
